Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-03-15 00:00:00-05:00,1.161836412217882,1.328850248739063,1.132790501912435,1.3070659637451172,92646400,0.0,0.0
1995-03-16 00:00:00-05:00,1.4377729892730713,1.4813415633119393,1.3796811632608383,1.4377729892730713,22867200,0.0,0.0
1995-03-17 00:00:00-05:00,1.445034220527192,1.445034220527192,1.379681350595218,1.3869423866271973,17163733,0.0,0.0
1995-03-20 00:00:00-05:00,1.3796809911727905,1.386942025313189,1.3506350817895796,1.3796809911727905,7141333,0.0,0.0
1995-03-21 00:00:00-05:00,1.3796812797335087,1.4595573995083164,1.3651580265340912,1.445034146308899,8198400,0.0,0.0
1995-03-22 00:00:00-05:00,1.4522959019883868,1.7282324188365379,1.4522959019883868,1.6193097829818726,18216533,0.0,0.0
1995-03-23 00:00:00-05:00,1.60478721703874,1.648355801277963,1.5757412972323408,1.5830029249191284,8507733,0.0,0.0
1995-03-24 00:00:00-05:00,1.5975251114228466,1.6047867369371849,1.5612175747917292,1.5902634859085083,2049067,0.0,0.0
1995-03-27 00:00:00-05:00,1.583002593020243,1.6120485067367554,1.561217714527388,1.6120485067367554,2526933,0.0,0.0
1995-03-28 00:00:00-05:00,1.6193093523916395,1.7282319592827158,1.6120483180180143,1.6628785133361816,13986133,0.0,0.0
1995-03-29 00:00:00-05:00,1.6846630474631406,1.7209705884625939,1.6410944710163131,1.6701403856277466,5116800,0.0,0.0
1995-03-30 00:00:00-05:00,1.6556172972128218,1.6556172972128218,1.5321720001240582,1.575741171836853,3025067,0.0,0.0
1995-03-31 00:00:00-05:00,1.553956696443023,1.6338328123092651,1.5321718177098926,1.6338328123092651,4603733,0.0,0.0
1995-04-03 00:00:00-04:00,1.626571395180442,1.626571395180442,1.5757411868162305,1.5975254774093628,3210667,0.0,0.0
1995-04-04 00:00:00-04:00,1.5902635221155983,1.5975251477952692,1.488603126362557,1.503125786781311,2643200,0.0,0.0
1995-04-05 00:00:00-04:00,1.5031258774251846,1.5031258774251846,1.4522956764834207,1.466818928718567,4864000,0.0,0.0
1995-04-06 00:00:00-04:00,1.4813415900130893,1.5031258774251846,1.466818928718567,1.466818928718567,2638933,0.0,0.0
1995-04-07 00:00:00-04:00,1.466818928718567,1.4886032161306622,1.4450340503658479,1.466818928718567,1559467,0.0,0.0
1995-04-10 00:00:00-04:00,1.4668186472608453,1.5684790296374627,1.4450337730882756,1.5394331216812134,2995200,0.0,0.0
1995-04-11 00:00:00-04:00,1.5394331216812134,1.5612174049132728,1.5249104631733439,1.5394331216812134,2439467,0.0,0.0
1995-04-12 00:00:00-04:00,1.546695365225383,1.5793717292794505,1.546695365225383,1.5684796571731567,4126933,0.0,0.0
1995-04-13 00:00:00-04:00,1.5830022790858425,1.5830022790858425,1.5249104631733439,1.5394331216812134,781867,0.0,0.0
1995-04-17 00:00:00-04:00,1.5249110186149462,1.5539569371510336,1.4886034727096558,1.4886034727096558,1000533,0.0,0.0
1995-04-18 00:00:00-04:00,1.4886033298025263,1.510387618878101,1.4450341607107082,1.4595574140548706,1351467,0.0,0.0
1995-04-19 00:00:00-04:00,1.4595573995083164,1.474080061767071,1.445034146308899,1.445034146308899,1766400,0.0,0.0
1995-04-20 00:00:00-04:00,1.4522957729086077,1.474080061767071,1.445034146308899,1.445034146308899,1704533,0.0,0.0
1995-04-21 00:00:00-04:00,1.466818931355104,1.474079966545105,1.466818931355104,1.474079966545105,652800,0.0,0.0
1995-04-24 00:00:00-04:00,1.4740798993285107,1.6701402502714902,1.4740798993285107,1.6556169986724854,5712000,0.0,0.0
1995-04-25 00:00:00-04:00,1.633832648053964,1.6483553081420663,1.590263485908508,1.5902634859085083,1277867,0.0,0.0
1995-04-26 00:00:00-04:00,1.5902634255611228,1.6628784960677576,1.5902634255611228,1.64835524559021,2708267,0.0,0.0
1995-04-27 00:00:00-04:00,1.6410943380140781,1.6701402502714902,1.6338327122145757,1.6556169986724854,2250667,0.0,0.0
1995-04-28 00:00:00-04:00,1.6483553081420663,1.6483553081420663,1.5684792003060675,1.5902634859085083,1061333,0.0,0.0
1995-05-01 00:00:00-04:00,1.60478721703874,1.60478721703874,1.5757412972323408,1.5830029249191284,1065600,0.0,0.0
1995-05-02 00:00:00-04:00,1.6047867369371849,1.6047867369371849,1.575740825820406,1.5902634859085083,354133,0.0,0.0
